[inf] 2018-04-18 19:32:50 | App connected with redis server
[dbg] 2018-04-18 19:32:51 | Loading module - server
[dbg] 2018-04-18 19:32:51 | Loading module - accounts
[dbg] 2018-04-18 19:32:51 | Loading module - transactions
[dbg] 2018-04-18 19:32:51 | Loading module - blocks
[dbg] 2018-04-18 19:32:51 | Loading module - signatures
[dbg] 2018-04-18 19:32:51 | Loading module - transport
[dbg] 2018-04-18 19:32:51 | Releasing enqueued broadcasts
[dbg] 2018-04-18 19:32:51 | Queue empty
[dbg] 2018-04-18 19:32:51 | Loading module - loader
[dbg] 2018-04-18 19:32:51 | Loading module - system
[dbg] 2018-04-18 19:32:51 | Loading module - peers
[dbg] 2018-04-18 19:32:51 | Loading module - delegates
[dbg] 2018-04-18 19:32:51 | Loading module - rounds
[dbg] 2018-04-18 19:32:51 | Loading module - multisignatures
[dbg] 2018-04-18 19:32:51 | Loading module - dapps
[dbg] 2018-04-18 19:32:51 | Loading module - crypto
[dbg] 2018-04-18 19:32:51 | Loading module - sql
[dbg] 2018-04-18 19:32:51 | Loading module - cache
[dbg] 2018-04-18 19:32:51 | keys with pattern: /api/delegates* cleared from cache on delegate trs
[inf] 2018-04-18 19:32:51 | Sauco started: 0.0.0.0:4000
[inf] 2018-04-18 19:32:51 | Modules ready and launched
[inf] 2018-04-18 19:32:51 | Blocks 1
[dbg] 2018-04-18 19:32:51 | Loading blocks offset - {"limit":1000,"offset":0,"verify":true}
[dbg] 2018-04-18 19:32:51 | Processing block - 5356537285557333399
[dbg] 2018-04-18 19:32:51 | Applying unconfirmed transaction - 14184199541845198867
[inf] 2018-04-18 19:32:51 | Genesis block loading - 0.9709 %: applied 1 of 103 transactions
[dbg] 2018-04-18 19:32:51 | Applying confirmed transaction - 14184199541845198867
[dbg] 2018-04-18 19:32:51 | Applying unconfirmed transaction - 11293078031149019430
[dbg] 2018-04-18 19:32:51 | Applying confirmed transaction - 11293078031149019430
[dbg] 2018-04-18 19:32:51 | Applying unconfirmed transaction - 16413463937282658299
[dbg] 2018-04-18 19:32:51 | Applying confirmed transaction - 16413463937282658299
